Id,n_nouns
diZi5g,11
u7w0lr,14
2vqGOF,12
kSE41E,11
oO5UVE,8
yMg9ew,13
Qrt4Ax,11
WIiRD7,9
9rOtnD,7
26W9oD,7
FIE67H,7
WTHZva,9
xz5ZGp,11
2qEbuk,8
bmnOkL,11
qHYE4w,4
GgHf6s,11
wQMMKq,13
DibTY4,12
qxdBAf,14
cpyXWh,14
cf5xEW,14
3M8DjI,7
CMIj0Q,5
mTu2ny,8
G7f4Ng,12
VLCYMp,10
g7LApw,9
1IidFS,10
9Nu9fV,11
Z5CEoQ,10
fjPj1X,10
Em0ZDe,16
xDFSmc,6
SBZU2R,9
ktHRRF,14
P1VeAR,9
EvEoFH,10
Z6smZn,10
AU3hmv,8
iarnUB,9
eFI7Dm,10
xBQcej,7
8vmc9D,9
W7He1L,7
XWNJtt,17
ANpGJS,11
aP9rAk,12
fEB8Dh,10
qGB7Q1,14
EVpLCw,9
6rszZh,12
izUibZ,8
uTs3TG,7
oZiRhu,9
Iqjrcq,10
jjJ1tZ,12
rBFRc5,7
QHanoL,10
xPRZhf,7
f2jeRS,11
Ce5VKe,10
uqTRf6,6
NwCeow,9
2zQe3l,10
6mUCZ2,11
meAw7m,12
WcPMMw,14
pHVB9w,7
Cx8iMT,9
wMDNGL,14
YcClSX,14
l7Ly1S,7
ernmJh,11
KNEVxq,11
pCkB97,7
N5Salg,9
5uG1N4,12
fIfHIZ,15
tqfeMq,13
R03j1I,8
FTZSuh,9
00Qi46,16
a7gYul,13
erhyoO,13
ae2D1I,11
MynPT4,9
f4bbP6,8
s1TaKr,12
lSWEye,8
gerbBA,8
VCDLdh,8
S1JUrJ,10
YGB5ZA,8
CJewAZ,10
nqDmfJ,10
HKkw65,9
BvKXHK,13
T5uWL6,10
0MVV7S,10
90KoHt,12
BagFnq,12
fMfdLR,13
5xGTtT,10
g6dxLb,12
uw0oa4,9
bKsROE,12
dvak66,13
zZ6ACe,6
jnFkzB,13
dO8WQV,15
5bP5zg,12
WCVLSb,13
wj9uSW,8
gG5XeX,10
4r35bk,8
YlMowU,10
Ht1HXe,8
7TL3d1,4
U6KSIF,8
62jKSY,9
nP1I5r,12
gCnK33,8
nVlkak,8
8n5MQI,10
Dd7yrP,13
AnBwLR,13
08lcer,11
wIp0Hv,10
X51zKg,10
WGIQOX,9
8cjTvT,11
afBztG,6
G2J9QY,14
iRCHho,11
9XPorm,6
XtxRV5,10
aR55Zg,10
Da4oiX,8
kenOcN,11
jdZWDW,11
J2HaNt,8
7rCPdX,12
MjIq4T,11
edRNnL,10
EHuRAQ,8
JvWpVm,7
3WMX9w,14
JlyGot,11
SfEwzq,9
mx5J23,9
FwKGit,8
fKdVuo,10
mpS1qi,12
WPLzrR,9
ZnhNFn,11
q2cDTN,10
tJkie6,15
rwA3QD,8
Whkm0k,8
MuH6b3,9
d0OCLq,7
s7Mslr,13
DDhuRc,11
YX2UwJ,11
kfQC3J,9
LWILGY,11
SSUeI4,12
g1RrAB,10
G4eptB,9
5ZSVIt,9
zGJOql,10
FZjJOc,8
kNuWgJ,8
nYxJjH,6
op9omO,12
9MbU9l,13
6oGIJG,12
oopcVx,14
1RtKJe,12
kainxd,10
aMBEeX,10
uyvfjO,9
0VgANu,8
KGZ9in,10
wSUUO2,12
TkbFKk,12
NLFyVM,12
fYXUH3,6
wlT64l,11
9PMwxO,14
8oen7b,11
OKdGUL,13
87ush6,10
N5eMP1,7
o2AxsT,9
yksWiO,14
InbfpO,12
fEmP3D,7
g9UoFl,10
V9nQ7x,8
iACyDZ,11
4XWGip,8
Rpu9nS,13
h27RTf,13
KknlkH,10
SY8naP,12
HGc1gC,9
qT4eTt,13
vcj2v4,13
aXzaFk,12
d0kdfH,10
Fld1NP,12
wR3JYC,8
uVFBKD,12
8HH8J7,10
w16uw7,7
Y6lsMz,10
bb9VRa,11
mrheiz,8
aXU0Cc,9
oHe3IX,10
KEYMbe,9
jgivtP,11
VymSlN,8
VoBdjF,15
OzTbHT,6
BeU3Ae,11
TZSGD9,11
N3n109,13
TBCnTy,7
ylU8n7,7
ffiDf1,6
FcHXhA,11
yBhSAf,11
A3zcqS,8
RRXZKu,7
YxblMm,7
D9wfan,14
unqUYq,10
3ZBNPR,9
kQ5JVB,9
mVEPOP,9
IkGcsb,11
iuytZv,14
IVgZKZ,11
FGXdAk,11
Yv1n49,7
vD1NJD,9
TiFHpx,9
joWKjc,9
LXgcsE,12
Eac4Jk,10
ZO5hHJ,11
1tTAio,10
LzCOJT,7
v0eryt,13
KNt042,7
VGiFKb,10
ycSWN7,10
HbxVgx,8
vWpZvB,10
wnDqMm,10
RKz7GZ,10
ALlVu0,7
PxcQEr,11
YQK1CL,11
Sq803M,14
L21vTP,11
rXxCCr,11
cyZWOr,11
2Fz3lI,7
2Xi7WP,12
EFQC5X,10
jYoUnm,13
01tbp8,8
ehvgnk,6
Rzdkco,9
vKBYZX,12
WAvyvi,11
UDUZvx,14
cFQZhh,6
e0BwRh,6
m2m8Nx,15
eiGA5E,10
5L5iU9,7
JhMxQi,11
B3HJ22,14
BYkTS1,13
APhinm,11
3Ii5HO,5
8PfELy,6
U15ZSM,11
qLi1oX,12
h3lwhC,11
4uk9YW,11
PGP1JD,10
2koYk3,8
rkfOpd,11
RS2vmt,10
lyXtSi,8
qVz2H6,7
i00J9G,11
sa1eva,5
VqKfGo,10
WBggDi,12
SrJZpV,8
Z26bsX,9
oZdBlL,12
ODwl7k,10
wCbwPl,6
Wymfvo,8
jQYGVT,11
J76glE,8
ylo2yv,13
Ubpbu9,11
GLj11Y,11
VBpmC2,8
RMtzAf,7
RPhbo6,10
GwHyI3,6
UJxmDR,15
o3saxe,10
MacaAb,11
vKGSbp,10
5CJygE,6
g93QAq,7
6fkKw7,11
dc7u34,7
Zm0AtB,14
dyYCLY,11
bMxfan,10
RUCUKW,10
wsPFFS,12
8VCyxM,11
lP923E,7
NrhLrn,9
qzL6iK,15
EZHmE4,8
d4kgbX,11
lDzXlG,13
yB87HA,11
CSnuPh,11
bZNI9Y,11
sVeX2h,10
jQ2I7a,10
RbZywd,12
PXzQRA,8
5UllUx,10
nd1dDa,9
OSjqsI,11
GiFCg6,11
INeeQM,9
x18WUy,7
Mib78e,11
quIPlt,6
jU7a0y,11
vlREki,10
LFXbFA,9
sWoKjK,12
KLSXPN,9
RDubAZ,11
GiIoJt,9
0g5qOU,10
dkMSq6,6
bRt17N,13
AGi04h,9
Bcu5Dd,11
FEhcsj,10
9OkhTp,9
hS3Nth,9
s9eW2E,8
DurcYx,4
eEx31z,9
26c2MG,14
ODSP72,12
4TGJsM,11
c3YllF,8
5RmnHq,12
HznhUX,10
FXjubw,8
COfcRg,10
MIQDfB,13
oypvTx,10
0E8q48,15
X93SWP,8
sXR586,10
EoCdSG,11
51GUPp,10
vjMzTp,8
C6cS5T,11
TxeeWF,11
fc9Owu,9
xDwnP1,10
ue3jXm,6
W1UnWM,11
kfQ7yd,7
1yx2k0,10
1AyyPt,6
d54mCK,12
H5D9KB,9
Hao1TO,16
BR8pbk,10
fpjva5,9
tIZ9uZ,9
20i38I,13
Z4niTv,8
MeuJJA,12
lb7Ahz,10
uuXfbf,9
YAZuZW,15
0lCD1I,10
1ahxun,11
HREFAh,7
l4g6QC,13
UqgGEn,9
skO5aA,10
3HlkP8,10
4fMVnC,9
gWyXHL,11
lrdixX,8
6H5CZ7,9
OREE5s,6
L0KgEH,9
HBfijS,10
CUp1Or,8
7WR037,14
C25PVe,8
hYsF5J,15
1SkXyE,11
lzUevU,9
05AFoR,13
8RQArf,15
Go4eTW,12
KAPWHC,11
epYS97,10
0SkkYa,9
sBygKu,16
kUsoeG,9
tvvZkB,11
MbaxdG,5
Fi0ME0,11
BIInjF,7
aaxYEa,9
Rw3Qq7,12
awKWAC,12
jOmp04,12
UZQ3ei,12
AEq49f,9
axNbDZ,13
hyqhRD,7
nhevKU,8
khhRwQ,10
QWZL1h,12
U3eK2G,12
93FAqn,9
sHyIwY,13
HDYzkT,9
N2gAK6,7
9MyKiw,7
GAhtD0,5
Bocelv,11
dEMdmU,11
iPIUXQ,11
qyEgSt,12
bc7lD2,11
jgC5PW,10
q8LoQd,10
UiB529,9
z3vgnJ,9
AMVWY9,12
nEA5IK,7
hK6reY,11
3yKoYW,13
yK1RiW,6
jlkxsZ,9
7gCbf9,8
2YEaJT,6
iqwzbc,9
8BAYxr,13
AAjydM,17
yRuDzp,14
4KQGpJ,11
Ppsko6,12
eOWeak,13
GVLbtM,7
9opzg1,12
LEgh5D,15
KOD8WL,7
BEIX3m,12
EAkI4e,9
Go6mHe,8
WB1Yyx,9
kIcfQM,10
vs7Th0,8
zKBaN1,10
gGELfA,14
SkZSxw,10
cxHRVn,10
Ktj84C,14
TTfueZ,7
jSSChv,10
hCYBm1,11
F4ArMw,11
ULi1ms,12
9vaEKM,6
yYuGgC,11
wzr2tH,5
Dqv5YN,11
HiPvOH,9
M9yL6E,12
HRCMzu,11
M95Mu2,10
T3u2D2,8
8fIaFH,7
EAwuzz,7
wGHOSN,13
5qITby,9
Nm1Av1,10
INSlg7,9
hIvwqc,9
Kw5YEK,9
GFn5kX,13
0OmWVr,14
4zBSYK,6
sZgnCu,8
4oSaML,9
zXB6b7,9
gFYdXQ,10
weJd0r,11
tKUEMA,9
OHYysh,9
HdivSt,11
qC4ysW,8
bZcSU5,9
Rjk4NV,8
2c4aEs,9
b0IVMo,8
mToMTo,9
bV4mlW,11
GsXybM,13
4ImcQk,10
4momun,8
9yNAYu,8
qwntDA,11
5rihCT,10
eyIrIY,11
ZGZv0D,17
3mGuPB,14
jm8nVl,13
uh9gLf,9
ELxyb0,11
d38ICK,8
eWKqRp,10
678e4w,10
fLg34x,8
GkX3SM,9
Z5xUq5,8
Hj9hd0,11
WBtJqv,11
jSXWqt,9
op27Hc,8
03ND7N,10
kbMmH2,11
7sATHd,10
IAQcZQ,9
SJAvwh,10
1PSjxy,9
bq1dA9,10
eh49rM,7
SA8HtK,11
IWk3pp,11
yXlm97,11
dNNK6X,12
mhNP1X,9
W5FlgK,14
ZcZKs4,10
NEYexM,8
7cqFnz,13
TfuLAP,6
Ciwpe1,10
p6ClSq,9
MQwOVV,12
iTYCGW,11
3aftv1,14
8SovV7,7
1OWTfc,12
fZaoQw,12
jGXEG5,9
6oHD7F,12
nJwv9f,12
LvtFxl,12
IHDX3C,10
uJK6uQ,10
R5hnsP,9
AmqPuQ,12
sOydcR,11
MpEVxP,11
iC3doj,9
RyJyH3,11
2oHeym,10
gbgkYb,7
waX0E5,9
dA0n2s,10
GcMR5O,11
0VCeOb,4
X35Jel,10
KeaBzO,14
rgoDpW,9
4P74pL,14
96NfXn,12
7nVIdL,12
KUL9V5,9
KpRw7L,9
dWGcTp,11
WJsCsA,10
zAPAtM,12
LyDZh1,10
ZxEv7U,13
WKQviD,13
k8HpDe,10
hJNZWd,9
2wiivl,13
fKbHF9,9
2EaqeB,11
OMhrg5,7
gaHXJ6,8
yhhDr8,15
Y0oqpL,10
YqAPRQ,11
pYLTYE,9
06JaJN,12
vesYu3,12
1IWB3w,9
YBG0mE,9
t3wZfc,12
brz0oX,14
Uj2j8U,10
wAtZ1b,12
VuoOEJ,8
5DeIDu,12
B7tb0e,11
za9y2l,8
DGihpd,9
ToHvmz,13
fi0Ipu,11
GehYxe,12
YSUzBN,9
3wUeSG,10
sSlfFu,15
rzc2q5,13
EZwt5N,12
Hv60YA,9
Hohhn8,9
MsAGh4,11
tyJLs4,10
tsJEWT,12
i0kBZr,10
judsMZ,10
vxeiCj,14
pRTpAP,8
eoQAoy,11
6xQCVJ,9
VnzFjE,5
naWBhj,9
ERSgo5,8
ZaZRNo,12
rG1cy4,13
a2BCBQ,10
LXiVdb,10
aTOWmB,8
jWEJYy,14
lWLjQ7,9
0InCYD,11
eCZtLj,10
ePWXXI,12
XB8WCY,6
740Bup,12
akojY2,11
LLU6NS,11
b88ctq,12
RXf34E,11
GNPJeW,10
znxzO0,9
upqO2O,17
myfr7p,13
5aCe8r,13
kpjEBP,10
ZtsOcs,10
uU848Z,11
rgWI2p,7
EbzsmW,7
h8wlMy,7
YeXZhm,8
YBAaq1,6
SpyiRg,10
wQeE6s,8
oBtNq0,7
VVvzoc,6
TbDjh5,11
Atag53,12
ZenG6k,6
xukvYg,10
maahdP,8
TSrFtC,13
EIjAaJ,11
ytzlzi,9
XApo1C,14
okUMjC,10
OeDwWR,10
I5nwN2,5
iUpLBz,14
ChysVq,12
pgTYhI,8
MNjaYH,12
dwiSIC,9
xm4qfk,7
G6Qzko,9
uCUwRr,11
8qopTk,12
U9N0L1,10
p5awQs,12
iMbGE7,9
jcZPAf,9
8zYjpj,8
WL7Wux,12
xGVxtR,8
gXs922,10
awK36H,9
WY3E3U,11
UTmujC,9
HvyHiv,8
s9QE0B,12
jzJeBj,15
mPBM05,11
yjR5o2,6
HzolcF,9
6Nahee,9
Tft9nY,9
n9WZ5v,13
V6S2Ky,6
AOwNoG,14
AxDmHs,8
nhxXKr,6
z8KdbL,9
pQcO50,10
WK4Uam,11
PAHJB7,7
BmqcGY,13
jDyMGq,12
9Wdb8m,10
izEUa2,10
N2kOwE,10
KOBpOR,12
uMpxkI,7
YYyHOL,9
93VKaE,9
WiYsuH,5
d4Ss3V,8
yBn0Uf,13
LM6hVf,12
eIKbXE,14
Me6j5y,8
g6MM2L,6
bAdHGN,8
mOs6kD,9
