step,w1,w2,w3,w4,w5,w6,ema1,ema2,ema3,ema4,ema5,ema6,L1,L2,L3,L4,L5,L6
50,0.14034950733184814,0.25316259264945984,0.14229942858219147,0.2501743733882904,0.10939346253871918,0.10462062060832977,0.7232085466384888,0.8205022215843201,0.7254459857940674,0.8185430765151978,0.6820539236068726,0.6746931076049805,0.003923296928405762,1.6777293394614964e-14,6.904000149354772e-10,1.8217018605409807e-12,5.0012407409871784e-11,2.293184156562829e-14
100,0.15933173894882202,0.20087698101997375,0.12754300236701965,0.21644888818264008,0.13891854882240295,0.1568809449672699,0.5353597402572632,0.5733553171157837,0.49840593338012695,0.585674524307251,0.5125024914741516,0.5325919985771179,0.023563645780086517,1.9011164916079258e-14,4.637883648683783e-06,1.5760808118130652e-14,4.3139135641467874e-07,0.0025541712529957294
150,0.2076171189546585,0.1976538896560669,0.14930908381938934,0.16888386011123657,0.1332349330186844,0.14330120384693146,0.41656532883644104,0.4084059000015259,0.362385630607605,0.3825598955154419,0.34339556097984314,0.3553778827190399,0.0045944880694150925,9.610703273210675e-05,0.02630019560456276,0.011047745123505592,0.006715348456054926,0.0031777266412973404
200,0.27273526787757874,0.17072373628616333,0.1301213949918747,0.13793832063674927,0.14298419654369354,0.14549709856510162,0.3659023344516754,0.2806051969528198,0.23579469323158264,0.27295395731925964,0.2513486444950104,0.2542232275009155,0.8002063035964966,1.0160636221279162e-11,2.4374099960589035e-11,2.753335475921631,2.536019110266352e-07,1.6212228004519602e-08
250,0.2947264611721039,0.20598238706588745,0.1342180371284485,0.12195143848657608,0.12413033843040466,0.11899133771657944,0.316074937582016,0.25696250796318054,0.18628887832164764,0.1704748421907425,0.17339684069156647,0.16642041504383087,3.7270902453201415e-07,1.135208463690085e-14,2.1144732187394766e-08,2.4757937019947995e-11,5.524242521759426e-12,5.957027208084334e-17
300,0.24813078343868256,0.22163063287734985,0.13916677236557007,0.1284138560295105,0.13632720708847046,0.1263306885957718,0.29818835854530334,0.28173935413360596,0.204306498169899,0.20696383714675903,0.22509165108203888,0.18678636848926544,0.006739896256476641,0.22541265189647675,0.16022413969039917,1.752799153327942,2.578889846801758,0.004917476791888475
350,0.2596382200717926,0.16784191131591797,0.16540688276290894,0.10122494399547577,0.16802015900611877,0.13786780834197998,0.29001134634017944,0.21802817285060883,0.21561618149280548,0.1346001923084259,0.21820247173309326,0.18556727468967438,7.749896212772e-06,9.02844694792293e-05,2.5867766453302465e-05,0.0009702224051579833,7.411307706206571e-06,2.123380681950948e-06
400,0.2512822151184082,0.13497839868068695,0.1865793913602829,0.11836660653352737,0.16768230497837067,0.1411110758781433,0.26636525988578796,0.15602576732635498,0.21281813085079193,0.1445961445569992,0.207530215382576,0.16321998834609985,0.8095769286155701,0.029750417917966843,0.3672420382499695,1.0537006855010986,1.6004126071929932,0.016034256666898727
450,0.2302342802286148,0.11871619522571564,0.20130698382854462,0.12361787259578705,0.18035393953323364,0.14577080309391022,0.22017432749271393,0.11088434606790543,0.1980200707912445,0.11756016314029694,0.17988495528697968,0.14475882053375244,2.9156890377635136e-05,2.3588654585182667e-08,5.905304023556823e-10,1.43072416136647e-08,2.998960857425459e-09,7.338212526519783e-07
500,0.17036737501621246,0.09716175496578217,0.1557338386774063,0.19090136885643005,0.22274374961853027,0.16309192776679993,0.20346464216709137,0.110471710562706,0.18833841383457184,0.22191017866134644,0.24739086627960205,0.19593621790409088,0.033251140266656876,2.7536072593647987e-05,0.0024756852071732283,0.00010890284465858713,0.0028048569802194834,0.0005194397526793182
