step,w1,w2,w3,w4,w5,w6,ema1,ema2,ema3,ema4,ema5,ema6,L1,L2,L3,L4,L5,L6
50,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.01078183320350945,0.05502280965447426,0.042851805686950684,0.012277251109480858,0.0074465288780629635,0.00013638794189319015
100,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.018683898262679577,0.6956659555435181,6.686161941615865e-05,9.0487355919322e-06,0.25592121481895447,0.00104589166585356
150,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.19520990550518036,0.05162981525063515,0.02438819780945778,0.0402093380689621,0.04556315392255783,0.06629399955272675
200,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.10397174675017595,0.015774214640259743,0.4068223834037781,0.24675023555755615,0.026007279753684998,0.026007279753684998
250,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.20438182726502419,0.2992171347141266,0.000952342408709228,0.01489714253693819,0.011601906269788742,0.2330305427312851
300,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.23198261111974716,0.004430487286299467,0.004430487286299467,0.002371469046920538,0.004430487286299467,0.008277240209281445
350,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.1179414177313447,0.005126614589244127,0.0707707330584526,0.005126614589244127,0.0007861919002607465,0.010853043757379055
400,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.13792225066572428,0.005995129235088825,0.005995129235088825,0.0046690115705132484,0.0046690115705132484,0.009884296916425228
450,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.004985376377590001,0.004012569785118103,0.00025651510804891586,0.003124992595985532,0.0006972800474613905,9.436664549866691e-05
500,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.0319221206009388,0.0596383698284626,0.03617250174283981,0.052630677819252014,0.16211387515068054,0.49934592843055725
550,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.08612994803115726,0.0008428789442405105,4.1964489355450496e-05,0.009061803109943867,5.388347199186683e-05,0.00202196161262691
600,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.20918007475847844,0.04405466467142105,0.0004894031444564462,0.00012374049401842058,0.00018004135927185416,9.636919276090339e-05
650,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.11089188978075981,0.07145757973194122,0.04334120824933052,0.03824848681688309,0.13350032269954681,0.3202506899833679
700,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.0008334704543813132,0.00025115502648986876,0.00041408464312553406,0.017607327550649643,0.017607327550649643,0.001125598675571382
750,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.17944380268454552,0.02821941114962101,0.015104763209819794,0.23627828061580658,0.1623915135860443,0.015104763209819794
800,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.08572154492139816,0.0004945073160342872,0.007735396735370159,0.03059408813714981,0.00043640125659294426,0.000264690606854856
850,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.007960282281601394,6.372810048560495e-07,5.623985543934396e-07,3.6672990972874686e-06,4.963150104231318e-07,9.272384318137483e-07
900,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.0035521631689334754,0.0012191993882879615,0.4340650737285614,0.00010007803211919963,0.00010007803211919963,6.070038944017142e-05
