n_extra,minibatch,group_size,status,peak_gb
0,1,8,OK,75.09
0,2,8,OK,75.28
0,3,8,OK,75.28
0,4,8,OK,75.66
0,5,8,OK,75.47
0,6,8,OK,75.28
0,7,8,OK,75.09
0,8,8,OK,76.42
0,9,8,OK,76.42
0,10,8,OK,76.42
0,11,8,OK,76.42
0,12,8,OK,76.42
0,13,8,OK,76.42
0,14,8,OK,76.42
0,15,8,OK,76.42
0,16,8,OK,76.42
0,17,8,OK,76.42
0,18,8,OK,76.42
0,19,8,OK,76.42
0,20,8,OK,76.42
0,21,8,OK,76.42
0,22,8,OK,76.42
0,23,8,OK,76.42
0,24,8,OK,76.42
0,25,8,OK,76.42
0,26,8,OK,76.42
0,27,8,OK,76.42
0,28,8,OK,76.42
0,29,8,OK,76.42
0,30,8,OK,76.42
0,31,8,OK,76.42
0,32,8,OK,76.42
1,1,9,OK,82.08
1,2,9,OK,82.08
1,3,9,OK,82.46
1,4,9,OK,82.07
1,5,9,OK,82.65
1,6,9,OK,82.46
1,7,9,OK,82.27
1,8,9,OK,82.07
1,9,9,OK,83.6
1,10,9,OK,83.6
1,11,9,OK,83.6
1,12,9,OK,83.6
1,13,9,OK,83.6
1,14,9,OK,83.6
1,15,9,OK,83.6
1,16,9,OK,83.6
1,17,9,OK,83.6
1,18,9,OK,83.6
1,19,9,OK,83.6
1,20,9,OK,83.6
1,21,9,OK,83.6
1,22,9,OK,83.6
1,23,9,OK,83.6
1,24,9,OK,83.6
1,25,9,OK,83.6
1,26,9,OK,83.6
1,27,9,OK,83.6
1,28,9,OK,83.6
1,29,9,OK,83.6
1,30,9,OK,83.6
1,31,9,OK,83.6
1,32,9,OK,83.6
2,1,10,OOM,
2,2,10,OOM,
2,3,10,OOM,
2,4,10,OOM,
2,5,10,OOM,
2,6,10,OOM,
2,7,10,OOM,
2,8,10,OOM,
2,9,10,OOM,
2,10,10,OOM,
2,11,10,OOM,
2,12,10,OOM,
2,13,10,OOM,
2,14,10,OOM,
2,15,10,OOM,
2,16,10,OOM,
2,17,10,OOM,
2,18,10,OOM,
