step,w1,w2,w3,w4,w5,w6,ema1,ema2,ema3,ema4,ema5,ema6,L1,L2,L3,L4,L5,L6,wn1,wn2,wn3,wn4,wn5,eman1,eman2,eman3,eman4,eman5
50,0.19290293753147125,0.15029758214950562,0.19739945232868195,0.1378871500492096,0.13073861598968506,0.1907743215560913,0.8226725459098816,0.7740544080734253,0.8662411570549011,0.7764682173728943,0.7514590620994568,0.8134025931358337,0.7819483876228333,0.0380413718521595,4.758614540100098,1.7014132738113403,0.07888973504304886,0.0380413718521595,1.1485991477966309,1.3622362613677979,0.8314648866653442,0.8292546272277832,0.8010813593864441,0.9800476431846619,1.0084784030914307,0.9261960983276367,0.9257524609565735,0.9242725372314453
100,0.2472386360168457,0.1324973702430725,0.1899271160364151,0.17346714437007904,0.11502314358949661,0.14184659719467163,0.6851290464401245,0.5820630788803101,0.641511082649231,0.6265127658843994,0.558721661567688,0.5933077931404114,0.014598837122321129,0.0005529314512386918,0.0040784431621432304,3.726646127688582e-06,2.260326937175705e-06,1.3709582162846345e-06,1.2231285572052002,1.5114595890045166,0.8513144254684448,0.7332674860954285,0.6506284475326538,0.9394317269325256,0.9747090339660645,0.8790341019630432,0.8456586599349976,0.8342269659042358
150,0.22312727570533752,0.14217813313007355,0.19983334839344025,0.1825256049633026,0.10641446709632874,0.14592121541500092,0.573792040348053,0.5056870579719543,0.5537357926368713,0.5386986136436462,0.4497312307357788,0.5017271041870117,0.20051725208759308,0.8259393572807312,0.014163456857204437,0.005233798176050186,0.011047745123505592,0.001170194591395557,1.4203648567199707,1.4208383560180664,0.7999220490455627,0.6401605606079102,0.572502076625824,0.9215390086174011,0.9215945601463318,0.8258465528488159,0.7824999094009399,0.7700968980789185
200,0.21336525678634644,0.1587492823600769,0.11408302932977676,0.17782464623451233,0.16359783709049225,0.17237994074821472,0.5707109570503235,0.5216149687767029,0.4663293659687042,0.5395638942718506,0.5261704921722412,0.53447026014328,0.10978160798549652,0.07888973504304886,0.0019285932648926973,0.0015023101586848497,0.0380413718521595,0.005233798176050186,1.3497138023376465,1.8330243825912476,0.8707427382469177,0.48683273792266846,0.4314371347427368,0.8907326459884644,0.9417451024055481,0.8176824450492859,0.7140059471130371,0.7006449699401855
250,0.2247331291437149,0.14189885556697845,0.19430668652057648,0.1313445121049881,0.13489499688148499,0.17282183468341827,0.5151281356811523,0.4388067424297333,0.49075934290885925,0.4267902970314026,0.4314045011997223,0.4714650809764862,0.050688374787569046,0.005233798176050186,0.014163456857204437,0.07888973504304886,0.10020655393600464,0.018149929121136665,1.355916976928711,1.9646295309066772,0.9464415311813354,0.40295785665512085,0.3345746695995331,0.8598593473434448,0.9216636419296265,0.7999386787414551,0.6576257944107056,0.6207832098007202
300,0.33884671330451965,0.09943648427724838,0.20827114582061768,0.13984081149101257,0.10377912223339081,0.1098257377743721,0.5872055888175964,0.3849087059497833,0.5068967938423157,0.4411712884902954,0.3919616937637329,0.4013056755065918,0.00021557706349994987,1.6052279505629485e-09,3.978962558742749e-12,4.139937814784389e-08,3.3982678893096363e-09,1.0815941892117209e-11,1.711949110031128,1.6249810457229614,0.7802706360816956,0.3710640072822571,0.26569443941116333,0.8879127502441406,0.8792233467102051,0.7493860721588135,0.6330772042274475,0.5774059295654297
350,0.3041626811027527,0.0906672328710556,0.18491554260253906,0.14725549519062042,0.14606106281280518,0.12693797051906586,0.5920343399047852,0.39130547642707825,0.5089802742004395,0.472896546125412,0.46997520327568054,0.44688278436660767,0.1050138846039772,0.0031777266412973404,0.011047745123505592,0.16022413969039917,0.0024756852071732283,0.00861448422074318,2.0347273349761963,1.2791848182678223,0.620048463344574,0.3556221127510071,0.22855281829833984,0.9032720327377319,0.8344403505325317,0.7137435674667358,0.6210887432098389,0.5474051833152771
400,0.24657697975635529,0.11658793687820435,0.1745312213897705,0.1785828024148941,0.13529516756534576,0.1484259068965912,0.5529188513755798,0.43081438541412354,0.49616312980651855,0.4995735287666321,0.4539477527141571,0.46928220987319946,0.011701957322657108,0.16022413969039917,0.0380413718521595,0.000430649786721915,0.018149929121136665,0.023245465010404587,2.131556272506714,1.3263334035873413,0.4606376588344574,0.31007102131843567,0.228081613779068,0.9088619947433472,0.8218336701393127,0.6535293459892273,0.5875609517097473,0.5363779664039612
450,0.2354174256324768,0.13428348302841187,0.1555713266134262,0.24102449417114258,0.11994817107915878,0.11375512927770615,0.4830382168292999,0.40002521872520447,0.41504526138305664,0.4884534180164337,0.38988059759140015,0.38342052698135376,0.5400091409683228,1.5019291639328003,0.575939416885376,0.6931471824645996,2.3502066135406494,2.578889846801758,2.038079261779785,1.4593449831008911,0.4909510910511017,0.31205201148986816,0.22835174202919006,0.8631652593612671,0.8044894337654114,0.6229230165481567,0.5473939180374146,0.4953467845916748
500,0.2322610318660736,0.1451324075460434,0.16331757605075836,0.18161234259605408,0.1388731747865677,0.1388034224510193,0.4392816126346588,0.35124680399894714,0.3627631962299347,0.38199910521507263,0.3358549177646637,0.3357408940792084,1.8708672523498535,0.8259393572807312,0.029750417917966843,0.20141328871250153,0.014163456857204437,0.011047745123505592,1.977547526359558,1.582266926765442,0.46925169229507446,0.3117334842681885,0.23494409024715424,0.8142951130867004,0.7792999148368835,0.5767208337783813,0.5085557103157043,0.4614222049713135
